Upper Surface,,Lower Surface,
X,Y,X,Y
0.004505632040050084,-2.6297468354430373,0.0030037546933666948,0.901898734177216
0.018022528160200252,-2.003164556962025,0.01501877346683353,0.863924050632912
0.036045056320400476,-1.4905063291139236,0.02703379224030039,0.75
0.05707133917396745,-1.3291139240506324,0.04355444305381728,0.5031645569620258
0.08410513141426784,-1.224683544303797,0.0630788485607009,0.30379746835443067
0.11714643304130162,-1.1107594936708858,0.08560700876095118,0.2088607594936711
0.15769712140175218,-0.9968354430379742,0.11564455569461823,0.1613924050632911
0.2042553191489362,-0.8734177215189871,0.1501877346683354,0.11392405063291156
0.25832290362953697,-0.7689873417721516,0.19073842302878596,0.10443037974683556
0.3153942428035043,-0.6645569620253164,0.23579474342928658,0.10443037974683556
0.3709637046307885,-0.5791139240506324,0.2823529411764706,0.10443037974683556
0.42803504380475593,-0.5221518987341769,0.330413016270338,0.09493670886075956
0.48961201501877344,-0.45569620253164533,0.3799749687108886,0.10443037974683556
0.5556946182728411,-0.38924050632911333,0.42803504380475593,0.10443037974683556
0.6217772215269086,-0.3227848101265818,0.4806007509386733,0.10443037974683556
0.6863579474342929,-0.2658227848101258,0.534668335419274,0.075949367088608
0.7464330413016269,-0.19936708860759467,0.5947434292866083,0.04746835443038
0.7989987484355445,-0.16139240506329067,0.6518147684605757,0.037974683544304
0.8470588235294116,-0.11392405063291111,0.7073842302878599,0.018987341772152444
0.8861076345431789,-0.07594936708860756,0.7584480600750938,0.009493670886076444
0.9131414267834792,-0.04746835443037911,0.8035043804755944,-0.10443037974683511
0.9326658322903627,-0.018987341772151556,0.8440550688360449,-0.08544303797468356
0.9506883604505632,-0.009493670886075556,0.8770963704630788,-0.06645569620253156
0.9687108886107634,0.009493670886076444,0.9071339173967459,-0.04746835443037911
0.983729662077597,0.028481012658228444,0.9401752190237798,-0.018987341772151556
1.0002503128911138,0.04746835443038,0.9672090112640799,4.440892098500626e-16
,,0.9852315394242801,0.028481012658228444
,,1.0002503128911138,0.056962025316456
